Start Year,Window Size,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,artist_id,genre_id
2001,5,0.0008123199493610683,0.004823459090545717,0.0604611878190992,0.0018180749942701452,0.025158024769081643,0.031456217898659385,0.0012367725677614465,0.0020310377833360604,0.043544068472272206,0.5633383799416274,0.26532045671398574
2000,5,0.0024944154693511858,0.006484162692945849,0.0630542958315624,0.000919234075728487,0.041492458470090025,0.019734510552687132,0.0012001394844236536,0.0010748504100950354,0.031343068487307876,0.55400670885723,0.2781961556685784
2002,5,0.0018555409423116368,0.005052801156496593,0.059136032926242456,0.001990236014197295,0.0316422531844865,0.026977301247689944,0.0008846035404334045,0.0014387458980442017,0.037786554488926274,0.5465883970434852,0.28664753355768646
2003,5,0.0020153361955427495,0.0029382276428764776,0.04904697633168644,0.001367318688226388,0.012257131383507171,0.05408336025201152,0.0012988605625868124,0.0007036284752775582,0.031414466703301246,0.40039297332592844,0.44448172043905515
2000,21,0.00222815953057436,0.0042905217795638695,0.04801613441140056,0.0021451977234398364,0.010671791268002282,0.06699718691375821,0.0018077439836003558,0.0004103320803539434,0.0278294034396451,0.5620538587402913,0.2735496701293702
2004,5,0.0003524983018184662,0.0035981986820302157,0.055740176685483644,0.002253476018614275,0.011098715979578287,0.06408546111298025,0.0008691050916449144,0.0006125973383704146,0.028333684031868214,0.39793344690632254,0.4351226398512889
2006,5,0.0032147423805363715,0.002140490938452168,0.07465811304750686,0.010580788471767532,0.006567295065537033,0.06537333063169094,0.005731541268069252,0.0022579632544535997,0.04173774017914202,0.5671288495139033,0.2206091452489409
2007,5,0.009500213646640714,0.0011086330807510611,0.055757179442753935,0.011780567410421139,0.005385238537993849,0.0969728160664555,0.0034242142714366324,0.0015143771214589194,0.04162223161538061,0.5650538745400454,0.20788065426666227
2001,20,0.0018043969110044752,0.004184596976886212,0.053216198276082774,0.0020041350824669866,0.010791419595388738,0.067283060737022,0.0018252727840757457,0.000794604843945808,0.030090851563700997,0.5572020590426393,0.2708034041867869
2008,5,0.0042725837983327184,0.005476306042999892,0.05751831856947979,0.016155639626612144,0.012068779014585536,0.06200513222901658,0.006587944200374772,0.0010892221223904135,0.036488195725687095,0.5726620706717841,0.225675807998737
2009,5,0.0021663120006175994,0.008731028990184771,0.06499826839023581,0.013860220435404216,0.011180555275909247,0.07197772389828751,0.0019078812881988408,0.0026165998237664394,0.029673902043610936,0.5751028949985065,0.21778461285527817
2010,5,0.0032008395024606118,0.009645735627990816,0.08075510148522655,0.01562950994194435,0.012989693735821208,0.054927368588139576,0.0020373150216216798,0.0024709906145602128,0.017143460673647706,0.5887939144234869,0.21240607038510043
2000,20,0.002266480821393763,0.004737339963044335,0.05174796815902554,0.0024535066249473897,0.009683710056349555,0.06098522081014066,0.0025291054927632775,0.0006728733902102045,0.032269420398673324,0.5529610287355725,0.27969334554787956
2011,5,0.0022246248769131317,0.004161985948007423,0.08692191423684383,0.0018745826792079241,0.012452260956775471,0.06934506382415512,0.0013313022210601547,0.002071438380513426,0.019547351054565936,0.49437077673639024,0.3056986990855674
2012,5,0.002983932936342053,0.00589227139682193,0.07209707568453601,0.002057956024378285,0.011442229144130052,0.07744658004910737,0.001479635912766524,0.00018439816057624813,0.02685235971644266,0.3853860479913119,0.414177512983587
2013,5,0.0012985204908774078,0.0027302941761447185,0.07107518933086723,0.0010290067280376374,0.009243009460856731,0.09173617952799809,0.0031223739497664455,0.0010113510367452906,0.030737562164690452,0.530707050217471,0.25730946291654505
2014,5,0.002561279000239019,0.005044035289607209,0.053112372611502125,0.0021102296494830606,0.009144565050071175,0.09715980668926301,0.0027072444211897004,0.0006039856063621625,0.041856075025373106,0.5397983573552356,0.2459020493016739
2015,5,0.003391228840871601,0.008380060882452212,0.05013521581338946,0.0013539514424208037,0.006869690166824733,0.07755357303998729,0.0004043174801579543,0.001984234107692144,0.04698571272470434,0.5353103087893977,0.26763170671210185
2016,5,0.0013158609539675222,0.012838419095629704,0.051179385912235635,0.005470070809635741,0.007959333311523792,0.07216607312174582,0.0012806474503763942,0.00012170902235863146,0.041021494429634785,0.3913490912544653,0.4152979146384265
2002,19,0.0010417453983562622,0.004748906761462986,0.04969177728967586,0.0023533445365209087,0.009232404711589051,0.07099062079338762,0.0024376419157446007,0.0008302861287134695,0.03292790990378889,0.5484232892346635,0.27732207332609676
2001,19,0.001818853252933607,0.004636401275017227,0.050059706189841215,0.001538065528398344,0.01057345965657504,0.06662634728501098,0.001169697247794678,0.0005886566908795145,0.029972156526483856,0.5607276837900097,0.27228897255705586
2000,6,0.0018170490058146346,0.004666157819893341,0.0676138174537522,0.0009954846889201196,0.03517707740072747,0.01839213685128336,0.001206884560452987,0.0004916980458376494,0.02933214279617903,0.588683987907157,0.2516235634699822
2000,19,0.0022627340709359084,0.0041941700124000095,0.05456582648968694,0.001279503280527296,0.012697495310022908,0.068033854834223,0.0012612898739724758,0.0008362108099151376,0.035245080955975214,0.5635010127783677,0.25612282158397337
2001,6,0.0032319868404945408,0.004651938419706596,0.05133974213780253,0.0016142816144829387,0.017575380889710543,0.03917053013095366,0.0018930693242641542,0.000872268293545411,0.033021598524636306,0.5857237423646764,0.2609054614597269
2002,6,0.00227211551623135,0.004139235017080395,0.06542554678784145,0.0017456330931741183,0.025962507947403055,0.04480533618539043,0.001376857011646353,0.0006895861144850142,0.03946049512790618,0.5616441191799767,0.252478568018865
2003,6,0.0013463991471156871,0.004085008407557268,0.051259789858403904,0.0008686478025613039,0.011094455374545788,0.05127396904683056,0.0011055833087262482,0.0007355346604076806,0.028997106990629552,0.3942345133076321,0.45499899209559
2003,18,0.001983346102905784,0.004376024048152111,0.054269245671523546,0.002151284154707875,0.008680714644099452,0.07139224791662062,0.0027376176458895206,0.00040683357110548056,0.029727207668603962,0.556172163971081,0.26810331460531067
2005,6,0.003674953689298558,0.002761588286776218,0.052411797441620236,0.008266628152016715,0.008190682990879468,0.07259432528262202,0.002021608887183787,0.0007941053160439187,0.03282110963626712,0.5836084237243273,0.23285477659296472
2006,6,0.0023061166169495045,0.0035309927990692727,0.06435088611856189,0.011378034753648224,0.004569247053288075,0.08559436977471553,0.0019791270664703186,0.0018322626061420618,0.041276521221468236,0.5607572344050804,0.22242520758460638
2007,6,0.0012993291344719968,0.006348874520892806,0.062262190447674476,0.014612742412693152,0.010138096546833479,0.07376654003410262,0.0036729290581192114,0.00154662636381256,0.03451413011423951,0.5907311024316331,0.20110743893552727
2008,6,0.004107950140854419,0.006734444468320911,0.055717877264961684,0.005734828482094442,0.0100684560852226,0.0675636723874761,0.0036098816942310326,0.0010192971212215573,0.02871815635270047,0.5919331853877864,0.2247922506151304
2002,18,0.0019400617555988106,0.00413222634148172,0.054983879429025516,0.0012719418352268002,0.00920804611843263,0.06707668509308183,0.0015005399246078488,0.0006232175586458955,0.030567244948218705,0.5687574055511216,0.25993875144455864
2009,6,0.003644047579664084,0.004720561994436695,0.06884685672229746,0.00866370095262668,0.010360462267872877,0.07496511879169868,0.0029695190376868704,0.0006746329969584681,0.02599236006401843,0.562187966221409,0.23697477337133083
2010,6,0.0035176542900034213,0.00820264396318063,0.060757517313516,0.006797565712647832,0.01118081649874477,0.07022387788296071,0.0029202304084554307,0.0008980436360207794,0.02310797405964392,0.5821393551102036,0.2302543211246229
