df1_index,df2_index,Song Name (df1),Artist (df1),Song Name (df2),Artist (df2)
824,2337,Sexy Can I,Ray J & Yung Berg,All About Us,He Is We
825,2337,Realize,Colbie Caillat,All About Us,He Is We
826,2337,Disturbia,Rihanna,All About Us,He Is We
827,386,See You Again,Miley Cyrus,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
828,1133,Love In This Club,Usher Featuring Young Jeezy,Love It If We Made It,The 1975
829,2337,What You Got,Colby O'Donis Featuring Akon,All About Us,He Is We
830,386,No One,Alicia Keys,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
831,1811,Our Song,Taylor Swift,22,Taylor Swift
832,2337,Leavin',Jesse McCartney,All About Us,He Is We
833,1133,In Love With A Girl,Gavin DeGraw,Love It If We Made It,The 1975
834,2337,Better In Time,Leona Lewis,All About Us,He Is We
835,2337,A Milli,Lil Wayne,All About Us,He Is We
836,2318,I Kissed A Girl,Katy Perry,I Kissed A Girl,Katy Perry
837,2337,Paralyzer,Finger Eleven,All About Us,He Is We
838,2101,Bubbly,Colbie Caillat,Bubbly,Colbie Caillat
839,2337,Sorry,Buckcherry,All About Us,He Is We
840,2337,Damaged,Danity Kane,All About Us,He Is We
841,2337,Bust It Baby Part 2,Plies Featuring Ne-Yo,All About Us,He Is We
842,2337,Independent,Webbie Featuring Lil' Phat & Lil' Boosie,All About Us,He Is We
843,2337,Get Like Me,David Banner Featuring Chris Brown,All About Us,He Is We
844,2337,In The Ayer,Flo Rida Featuring will.i.am,All About Us,He Is We
845,2337,One Step At A Time,Jordin Sparks,All About Us,He Is We
846,2337,Spotlight,Jennifer Hudson,All About Us,He Is We
847,1811,Teardrops On My Guitar,Taylor Swift,22,Taylor Swift
848,386,All Around Me,Flyleaf,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
849,2337,All-American Girl,Carrie Underwood,All About Us,He Is We
850,2337,Small Town Southern Man,Alan Jackson,All About Us,He Is We
851,2337,What Kinda Gone,Chris Cagle,All About Us,He Is We
852,2337,Whatever It Takes,Lifehouse,All About Us,He Is We
853,2337,Feels Like Tonight,Daughtry,All About Us,He Is We
854,2337,You're Gonna Miss This,Trace Adkins,All About Us,He Is We
855,2337,Touch My Body,Mariah Carey,All About Us,He Is We
856,2337,The Boss,Rick Ross Featuring T-Pain,All About Us,He Is We
857,1811,Picture To Burn,Taylor Swift,22,Taylor Swift
858,2337,She Got It,2 Pistols Featuring T-Pain & Tay Dizm,All About Us,He Is We
859,2337,I Saw God Today,George Strait,All About Us,He Is We
860,2337,Just Got Started Lovin' You,James Otto,All About Us,He Is We
861,2337,I'm Still A Guy,Brad Paisley,All About Us,He Is We
862,2337,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,All About Us,He Is We
863,386,Last Name,Carrie Underwood,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
864,2337,Home,Blake Shelton,All About Us,He Is We
865,2337,Handlebars,Flobots,All About Us,He Is We
