Year,Number of Weeks On Top,Spotify ID,track_name,track_artist,track_popularity,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms
2000,20,1L6qobenWeJHFUWWAr7rGW,Separated,Avant,55.0,"pop, R&B",0.798,0.48,-5.564,0.0276,0.247,0.0,0.643,108.241,255600.0
2000,20,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,Dr. Dre,18.0,rap,0.92,0.891,-2.398,0.253,0.0313,0.0,0.311,95.295,161600.0
2000,20,5W8YXBz9MTIDyrpYaCg2Ky,Last Resort,Papa Roach,79.0,rock,0.589,0.89,-3.719,0.0603,0.000481,0.00082,0.692,90.598,199907.0
2000,20,0v1XpBHnsbkCn7iJ9Ucr1l,It's My Life,Bon Jovi,14.0,rock,0.551,0.913,-4.063,0.0466,0.0263,1.35e-05,0.544,119.992,224493.0
2001,47,6jWLyg8AuMQ9LtIB2UlfOF,Hanging By A Moment,Lifehouse,63.0,grunge,0.537,0.858,-4.903,0.0349,0.000966,0.0,0.502,124.599,216360.0
2001,39,09CnYHiZ5jGT1wr1TXJ9Zt,Thank You,Dido,68.0,rock,0.725,0.583,-9.942,0.0424,0.3,0.000215,0.765,79.984,218360.0
2001,39,7nnWIPM5hwE3DaUBkvOIpy,Drive,Incubus,74.0,rock,0.645,0.792,-7.34,0.036,0.0562,0.0121,0.666,90.565,232453.0
2001,38,1BExV8JprNJLvLeDE9qdEW,It's Been Awhile,Staind,54.0,rock,0.509,0.774,-4.054,0.0338,0.00189,0.000549,0.0824,116.529,264707.0
2001,29,3Gf5nttwcX9aaSQXRWidEZ,Ride Wit Me - Album Version (Edited),Nelly,2.0,pop,0.843,0.682,-6.446,0.0646,0.0627,2.54e-06,0.766,101.865,290373.0
2001,29,0KQx6HOpJueiSkztcS0r7D,Fallin',Alicia Keys,21.0,r&b,0.653,0.609,-7.519,0.037,0.263,0.00101,0.482,95.982,210200.0
2001,25,0OvwzS8FX73Bw7ykMRmffU,Put It On Me,Ja Rule,64.0,rap,0.831,0.79,-4.714,0.165,0.0024,0.0,0.791,93.14,262827.0
2001,25,6FLwmdmW77N1Pxb1aWsZmO,Only Time,Enya,69.0,"World/Traditional, Folk/Acoustic",0.418,0.249,-13.744,0.0301,0.841,0.661,0.213,82.803,218546.0
2001,24,6zsk6uF3MxfIeHPlubKBvR,Get Ur Freak On,Missy Elliott,70.0,r&b,0.797,0.75,-9.369,0.247,0.533,0.108,0.74,177.87,211120.0
2001,23,4BggEwLhGfrbrl7JBhC8EC,Butterfly,Crazy Town,73.0,alt-rock,0.736,0.811,-4.17,0.081,0.00132,0.000142,0.609,103.502,216733.0
2001,22,0CmXXEwul09Kf8X68lPA5l,Missing You,Case,52.0,r&b,0.612,0.579,-6.417,0.0553,0.285,0.0,0.716,86.31,284667.0
2001,22,5X8kkUaUlAyAUr9TYqDFTH,All For You,Janet Jackson,65.0,"pop, R&B",0.753,0.934,-3.011,0.0736,0.0174,0.065,0.73,113.525,329933.0
2001,21,7cNl9yAs9sScxAPIjM1fb4,Love,Musiq Soulchild,54.0,r&b,0.569,0.385,-9.919,0.0499,0.342,0.0,0.339,99.739,304667.0
2001,21,3PbHle8KhJp6GuO1jLdEmQ,Be Like That,3 Doors Down,62.0,grunge,0.487,0.702,-6.043,0.0238,0.00528,4.97e-06,0.306,95.982,265906.0
2001,20,3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,81.0,pop,0.429,0.661,-7.227,0.0281,0.00239,0.00013,0.285,173.365,266773.0
2001,20,20NKCc2ag4FT1DLk0C2oT5,Irresistible,Jessica Simpson,43.0,"pop, R&B",0.657,0.965,-2.771,0.0556,0.0285,8.84e-05,0.669,93.013,194026.0
